respuesta,respuesta_LN,calificacion
Sí ha mejorado,Sí ha mejorado,5
Sí ha empeorado,Sí ha empeorado,1
No ha mantenido la misma calidad,No ha mantenido la misma calidad,3
No estoy seguro/No he notado cambios,No he visto un cambio significativo,3
Sí ha mejorado,El producto es muy bueno,5
Sí ha empeorado,Deja mucho que esperar,1
No ha mantenido la misma calidad,Creo que su calidad se a mantenido,3
No estoy seguro/No he notado cambios,No estoy seguro,3
Sí ha mejorado,Coca-Cola simpre esta inovando,5
Sí ha empeorado,Coca-Cola no toma en cuenta la usuario,1
No ha mantenido la misma calidad,Su calidad no varia,3
No estoy seguro/No he notado cambios,No creo saber,3
Sí ha mejorado,Coca-Cola siempres subiendo su calidad,5
Sí ha empeorado,Coca-Cola se preocupa menos por la salud,1
No ha mantenido la misma calidad,Se estanco en su calidad,3
No estoy seguro/No he notado cambios, Creo que no e notado nada relevante,3
Sí ha mejorado,Coca Cola simpre en exelente calidad,5
Sí ha empeorado,Sí ha empeorado,1
No ha mantenido la misma calidad,No ha mantenido la misma calidad,3
No estoy seguro/No he notado cambios,No estoy seguro/No he notado cambios,3
Sí ha mejorado,Sí ha mejorado,5
Sí ha empeorado,Sí ha empeorado,1
No ha mantenido la misma calidad,No ha mantenido la misma calidad,3
No estoy seguro/No he notado cambios,No estoy seguro/No he notado cambios,3
Sí ha mejorado,Sí ha mejorado,5
Sí ha empeorado,Sí ha empeorado,1
No ha mantenido la misma calidad,No ha mantenido la misma calidad,3
No estoy seguro/No he notado cambios,No estoy seguro/No he notado cambios,3
Sí ha mejorado,Sí ha mejorado,5
Sí ha empeorado,Sí ha empeorado,1
No ha mantenido la misma calidad,No ha mantenido la misma calidad,3
No estoy seguro/No he notado cambios,No estoy seguro/No he notado cambios,3
Sí ha mejorado,Sí ha mejorado,5
Sí ha empeorado,Sí ha empeorado,1
No ha mantenido la misma calidad,No ha mantenido la misma calidad,3
No estoy seguro/No he notado cambios,No estoy seguro/No he notado cambios,3
Sí ha mejorado,Sí ha mejorado,5
Sí ha empeorado,Sí ha empeorado,1
No ha mantenido la misma calidad,No ha mantenido la misma calidad,3
No estoy seguro/No he notado cambios,No estoy seguro/No he notado cambios,3
Sí ha mejorado,Sí ha mejorado,5
Sí ha empeorado,Sí ha empeorado,1
No ha mantenido la misma calidad,No ha mantenido la misma calidad,3
No estoy seguro/No he notado cambios,No estoy seguro/No he notado cambios,3
Sí ha mejorado,Sí ha mejorado,5
Sí ha empeorado,Sí ha empeorado,1
No ha mantenido la misma calidad,No ha mantenido la misma calidad,3
No estoy seguro/No he notado cambios,No estoy seguro/No he notado cambios,3
Sí ha mejorado,Sí ha mejorado,5
Sí ha empeorado,Sí ha empeorado,1
No ha mantenido la misma calidad,No ha mantenido la misma calidad,3
No estoy seguro/No he notado cambios,No estoy seguro/No he notado cambios,3
Sí ha mejorado,Sí ha mejorado,5
Sí ha empeorado,Sí ha empeorado,1
No ha mantenido la misma calidad,No ha mantenido la misma calidad,3
No estoy seguro/No he notado cambios,No estoy seguro/No he notado cambios,3
Sí ha mejorado,Sí ha mejorado,5
Sí ha empeorado,Sí ha empeorado,1
No ha mantenido la misma calidad,No ha mantenido la misma calidad,3
No estoy seguro/No he notado cambios,No estoy seguro/No he notado cambios,3
Sí ha mejorado,Sí ha mejorado,5
Sí ha empeorado,Sí ha empeorado,1
No ha mantenido la misma calidad,No ha mantenido la misma calidad,3
No estoy seguro/No he notado cambios,No estoy seguro/No he notado cambios,3
Sí ha mejorado,Su calidad fue subiendo,5
Sí ha empeorado,Su calidad se a degradado,1
No ha mantenido la misma calidad,No ha mantenido la misma calidad,3
No estoy seguro/No he notado cambios,No estoy seguro/No he notado cambios,3
Sí ha mejorado,Tuvo una mejora constante,5
Sí ha empeorado,Ha empeorado al pasar del tiempo,1
No ha mantenido la misma calidad,No ha mantenido la misma calidad,3
No estoy seguro/No he notado cambios,No estoy seguro/No he notado cambios,3
Sí ha mejorado,Mejor mucho,5
Sí ha empeorado,Me sorprendio que empeoro,1
No ha mantenido la misma calidad,No ha mantenido la misma calidad,3
No estoy seguro/No he notado cambios,No estoy seguro/No he notado cambios,3
Sí ha mejorado,Tuvo una gran mejora,5
Sí ha empeorado,Empeoro,1
No ha mantenido la misma calidad,No ha mantenido la misma calidad,3
No estoy seguro/No he notado cambios,No estoy seguro/No he notado cambios,3
